Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1989-07-01,3.35647086494875,3.49741862674515,-0.484059774888021,-1.47381443465713,2.97713062315876,,,,,,,,,,,,,,,,,,,1989-07-01,1.88698308484278,1.07305077300225,0.40213428650615,,,2.58667439517674,2.94220857664984,-0.644177668400842,-0.57954150856142
1989-10-01,3.31541182313843,3.40967692413632,-0.428769270583444,-1.68574834733465,2.39648653150069,,,,,,,,,,,,,,,,,,,1989-10-01,1.89018194313871,1.07065522330505,0.402954474437662,,,2.53626782104874,2.91021892626665,-0.659456267995047,-0.891203926433604
1990-01-01,3.58016150429194,3.50464088305459,-0.268299926681205,-1.52087698726098,0.870684937412211,,,,,,,,,,,,,,,,,,,1990-01-01,1.91088471106759,1.06800610635517,0.404535665254915,,,2.47508964054178,2.86937589206857,-0.675784534607782,-0.920996901726312
1990-04-01,3.54205720029534,3.41281305637715,-0.205567693911101,-1.53818521595042,0.794693356815477,,,,,,,,,,,,,,,,,,,1990-04-01,1.91147380658083,1.06606469243629,0.406504201155552,,,2.41893083161533,2.83159282127735,-0.690453588795927,-1.21703048800487
1990-07-01,3.41523094669889,3.27679801706607,-0.183035239928712,-1.72797478940174,1.17364280287829,,,,,,,,,,,,,,,,,,,1990-07-01,1.89653937634026,1.06507073533766,0.40836010579663,,,2.37385835467427,2.80039848408364,-0.701271428083459,-1.74748869718792
1990-10-01,2.90980134203043,2.99001883533301,-0.373551375019716,-2.67106601540252,1.64442388255345,,,,,,,,,,,,,,,,,,,1990-10-01,1.88099727117932,1.06517788778196,0.409228017618722,,,2.35183506161506,2.78674172413832,-0.708298173514712,-2.69097552884466
1991-01-01,2.6412212149549,2.83364722162506,-0.470419151433643,-3.44246415996918,0.624793225285313,,,,,,,,,,,,,,,,,,,1991-01-01,1.89463302252639,1.06568048072334,0.409485778839821,,,2.34081971406275,2.78252244445708,-0.714680311656537,-3.41425278798988
1991-04-01,2.73448921168863,2.8907939044839,-0.439904176258751,-3.54647723235223,-0.0295071495790871,,,,,,,,,,,,,,,,,,,1991-04-01,1.894633210741,1.0661192336865,0.409971434764875,,,2.32572801575871,2.77447210574442,-0.720931897927486,-3.5355878393658
1991-07-01,2.77524570697439,2.80843249076612,-0.308706253542896,-3.17331417379216,-0.35478077056717,,,,,,,,,,,,,,,,,,,1991-07-01,1.90435382157078,1.06682227872529,0.410306218707367,,,2.31625939116139,2.7702275053491,-0.72573950832782,-3.61564000789895
1991-10-01,2.62498967997857,2.70851311928228,-0.34924038314777,-3.20093823353295,-1.05737686232346,,,,,,,,,,,,,,,,,,,1991-10-01,1.92544500835088,1.0677111758491,0.410361644093463,,,2.31369437556626,2.77204072265487,-0.730295625750521,-3.66684254267045
1992-01-01,2.67483950432817,2.77250005189115,-0.36965488842526,-2.98792027428942,-1.91676216256158,,,,,,,,,,,,,,,,,,,1992-01-01,1.92558450557344,1.06846235027757,0.410659912315089,,,2.30670023678184,2.77017743349841,-0.735243678589851,-3.33394413548103
1992-04-01,2.66223617893239,2.76302782173194,-0.371856716592242,-2.56838732873757,-2.03105313741038,,,,,,,,,,,,,,,,,,,1992-04-01,1.9302184005008,1.06925366432475,0.410940043949689,,,2.30090592838138,2.76889069815924,-0.739625017305281,-2.95166094703279
1992-07-01,2.51192134736777,2.73930673114678,-0.496123315181261,-2.42238279312255,-2.2811195179471,,,,,,,,,,,,,,,,,,,1992-07-01,1.93684599103147,1.07013357420659,0.410975364136146,,,2.29891897219249,2.77006865260777,-0.742905490408996,-2.59935300745906
1992-10-01,2.53805259469342,2.70882330595048,-0.436518085765422,-1.82949021895286,-2.55240635387821,,,,,,,,,,,,,,,,,,,1992-10-01,1.93879326117987,1.07120855073898,0.410600708184685,,,2.30194914295297,2.77327086577065,-0.74339168388164,-2.31404069181303
1993-01-01,2.34940378247573,2.50963513952953,-0.406437504143148,-1.47198848226571,-2.37238291578109,,,,,,,,,,,,,,,,,,,1993-01-01,1.97367765439848,1.07278051030705,0.409285885788322,,,2.32200843396583,2.78898672209638,-0.740590043207992,-2.39551864690657
1993-04-01,2.31427867523466,2.436477714563,-0.36122812412354,-1.13361693316506,-2.49172102559264,,,,,,,,,,,,,,,,,,,1993-04-01,1.99652337944081,1.0746817195834,0.407550876858643,,,2.35026080780755,2.81004445085051,-0.735461253105191,-2.37611574059167
1993-07-01,2.12555392383656,2.35523579543198,-0.460740769977331,-1.13063754144332,-2.12239779229545,,,,,,,,,,,,,,,,,,,1993-07-01,2.02698927912585,1.07693584047356,0.405687719159578,,,2.38697243936487,2.8379734722923,-0.729418601740191,-2.30638342832992
1993-10-01,2.18677890551657,2.44957224668671,-0.503107056647835,-0.834266811933389,-2.06310689811676,,,,,,,,,,,,,,,,,,,1993-10-01,2.00209306794914,1.07916924281578,0.404212054580825,,,2.4198648507866,2.86213586776545,-0.723059022115277,-1.87493328332459
1994-01-01,2.11531759687401,2.4378241269208,-0.561667703763514,-0.547288958023955,-1.38471648330711,,,,,,,,,,,,,,,,,,,1994-01-01,1.99749181971316,1.08162180749791,0.402986585893104,,,2.45610265999494,2.8888391214602,-0.716144172192896,-1.52794097834726
1994-04-01,2.29718052064457,2.50368122731871,-0.452122749021554,0.1348329717041,-0.89725371108089,,,,,,,,,,,,,,,,,,,1994-04-01,1.96684745088214,1.08412445154018,0.402094136346111,,,2.49005301656285,2.91247177768724,-0.708144938446427,-1.1233775471776
